All battles within the game

ROXANNE												
Rhyhorn @ Rindo Berry		Wooper-Paldea @ Oran Berry		Gligar @ Oran Berry		Nosepass @ Berry Juice						
Level: 14		Level: 15		Level: 15		Level: 15						
Adamant Nature		Modest Nature		Adamant Nature		Impish Nature						
Ability: Lightning Rod		Ability: Water Absorb		Ability: Sand Veil		Ability: Sturdy						
- Rock Tomb		- Mud Shot		- Wing Attack		- Rock Blast						
- Horn Attack		- Acid Spray		- Quick Attack		- Spark						
- Bulldoze		- Yawn		- Bulldoze		- Thunder Wave						
- Rock Smash		- Sandstorm				- Bulldoze						
												
												
												
BRAWLY												
Pikachu-Libre @ Light Ball		Sandslash-Alola @ Chople Berry		Lycanroc-Dusk @ Muscle Band		Gurdurr @ Eviolite		Hariyama @ Sitrus Berry				
Level: 23		Level: 24		Level: 25		Level: 25		Level: 25				
Timid Nature		Jolly Nature		Jolly Nature		Adamant Nature		Adamant Nature				
Ability: Lightning Rod		Ability: Ice Scales		Ability: Tough Claws		Ability: Iron Fist		Ability: Thick Fat				
IVs: 30 Def / 30 SpA / 30 SpD / 30 Spe		- Ice Shard		- Low Sweep		- Mach Punch		- Fake Out				
- Fake Out		- Aerial Ace		- Accelerock		- Fire Punch		- Low Sweep				
- Electroweb		- Bulldoze		- Bulldoze		- Low Sweep		- Bullet Punch				
- Hidden Power Fighting		- Cut		- Rock Tomb		- Thunder Punch		- Bulk Up				
- Draining Kiss												
												
												
												
WATTSON												
Dedenne @ Terrain Extender		Kilowattrel @ Charti Berry		Magneton @ Eviolite		Vikavolt @ Occa Berry		Luxray	-mega @ Luxite			
Level: 34		Level: 34		Level: 34		Level: 34		Level: 34				
Timid Nature		Timid Nature		Modest Nature		Modest Nature		Jolly Nature		.baseHP = 95		
Ability: Electric Surge		Ability: Volt Absorb		Ability: Analytic		Ability: Levitate		Ability: Intimidate	Ability: Strong Jaw	.baseAttack = 130		
